6	29	31	40	66	97	102	107	117	118	170	195
8	29	31	40	66	97	102	107	117	118	170	195
19	29	31	40	66	97	102	107	117	118	170	195
29	30	31	40	66	97	102	107	117	118	170	195
29	31	40	66	72	97	102	107	117	118	170	195
29	31	40	66	76	97	102	107	117	118	170	195
29	31	40	66	77	97	102	107	117	118	170	195
29	31	40	66	97	102	103	107	117	118	170	195
29	31	40	66	97	102	104	107	117	118	170	195
29	31	40	66	97	102	107	109	117	118	170	195
29	31	40	66	97	102	107	112	117	118	170	195
29	31	40	66	97	102	107	115	117	118	170	195
29	31	40	66	97	102	107	117	118	170	180	195
29	31	40	66	97	102	107	117	118	170	195	197
17	29	31	40	66	97	102	107	117	118	170	195
29	31	40	66	97	102	107	116	117	118	170	195
29	31	40	66	97	102	107	117	118	152	170	195
7	22	29	31	40	102	117	118	156	170	183	195
22	29	66	102	109	117	118	152	156	170	183	195
22	29	102	107	109	116	117	118	156	170	183	195
22	29	31	102	109	117	118	156	157	170	183	195
8	22	29	102	107	116	117	118	156	170	183	195
22	29	30	31	102	116	117	118	156	170	183	195
22	29	102	109	117	118	152	156	170	183	195	196
7	22	29	40	102	116	117	118	156	170	183	195
29	31	40	66	97	102	112	117	118	170	184	195
22	29	102	109	116	117	118	156	170	171	183	195
29	30	31	40	66	97	102	117	118	170	184	195
22	29	30	102	116	117	118	120	156	170	183	195
22	29	30	102	117	118	152	156	164	170	183	195
22	29	102	109	116	117	118	144	156	170	183	195
22	29	84	102	109	116	117	118	156	170	183	195
22	29	35	41	66	102	117	118	156	170	183	195
22	29	102	109	116	117	118	153	156	170	183	195
21	29	85	102	117	118	152	156	170	183	184	195
7	22	29	36	102	116	117	118	156	170	183	195
22	29	30	31	102	117	118	152	156	170	183	195
22	29	35	66	102	109	117	118	156	170	183	195
22	29	102	109	117	118	152	156	164	170	183	195
22	29	30	102	116	117	118	156	170	183	195	196
22	29	30	31	102	117	118	147	156	170	183	195
22	29	31	102	109	112	117	118	156	170	183	195
22	29	44	102	109	116	117	118	156	170	183	195
21	22	29	31	40	66	97	102	117	118	170	195
22	29	30	40	102	116	117	118	156	170	183	195
6	29	102	116	117	118	156	170	171	182	183	195
22	29	30	102	107	117	118	152	156	170	183	195
21	22	29	30	31	102	117	118	156	170	183	195
22	29	102	109	117	118	152	153	156	170	183	195
22	29	30	35	66	102	117	118	156	170	183	195
22	29	31	40	102	109	117	118	156	170	183	195
22	29	30	102	117	118	152	153	156	170	183	195
22	29	30	36	102	116	117	118	156	170	183	195
8	22	29	102	107	117	118	152	156	170	183	195
29	41	89	102	116	117	118	170	182	184	190	195
21	29	102	117	118	152	156	170	182	183	184	195
22	29	30	31	102	117	118	156	170	183	194	195
29	31	40	41	66	97	102	117	118	170	184	195
22	29	30	44	102	116	117	118	156	170	183	195
22	29	30	102	116	117	118	156	170	171	183	195
22	29	102	109	116	117	118	156	170	183	194	195
22	29	40	102	109	116	117	118	156	170	183	195
22	29	30	102	117	118	152	156	170	183	184	195
22	29	30	31	66	102	117	118	156	170	183	195
22	29	102	109	116	117	118	156	157	170	183	195
21	29	31	39	40	66	97	102	117	118	170	195
7	22	29	35	66	102	117	118	156	170	183	195
22	29	30	84	102	116	117	118	156	170	183	195
22	29	30	102	116	117	118	156	157	170	183	195
8	22	29	35	66	102	117	118	156	170	183	195
8	22	29	102	116	117	118	156	170	183	195	196
22	29	67	102	109	116	117	118	156	170	183	195
22	29	39	40	102	109	117	118	156	170	183	195
8	22	29	102	116	117	118	156	170	171	183	195
8	22	29	102	116	117	118	156	170	183	184	195
22	29	30	102	116	117	118	156	170	183	194	195
21	29	35	41	89	102	117	118	170	182	184	195
22	29	30	31	102	112	117	118	156	170	183	195
22	29	31	102	109	117	118	156	170	183	194	195
8	22	29	102	116	117	118	120	156	170	183	195
22	29	30	102	116	117	118	144	156	170	183	195
7	22	29	39	40	102	117	118	156	170	183	195
22	29	30	67	102	116	117	118	156	170	183	195
22	29	31	102	109	117	118	152	156	170	183	195
22	29	66	102	109	116	117	118	156	170	183	195
22	29	30	102	116	117	118	153	156	170	183	195
22	29	102	107	109	117	118	152	156	170	183	195
22	29	102	109	116	117	118	120	156	170	183	195
22	29	30	102	116	117	118	156	170	183	184	195
22	29	102	109	116	117	118	156	170	183	195	196
21	29	31	40	66	97	102	116	117	118	170	195
22	29	31	102	109	117	118	147	156	170	183	195
29	77	102	116	117	118	156	170	171	182	183	195
8	21	22	29	31	102	117	118	156	170	183	195
22	29	102	109	116	117	118	119	156	170	183	195
22	29	102	109	116	117	118	156	170	183	184	195
22	29	30	102	116	117	118	156	164	170	183	195
22	29	30	66	102	116	117	118	156	170	183	195
22	29	102	109	116	117	118	156	164	170	183	195
21	22	29	31	102	109	117	118	156	170	183	195
8	22	29	102	117	118	152	156	170	183	195	196
22	29	30	102	117	118	152	156	170	183	195	196
7	22	29	102	116	117	118	156	170	183	184	195
29	31	40	66	72	97	102	117	118	170	184	195
22	29	30	67	102	117	118	152	156	170	183	195
22	29	30	66	102	117	118	152	156	170	183	195
22	29	31	102	109	116	117	118	156	170	183	195
29	85	102	117	118	152	156	170	183	184	195	201
8	22	29	102	117	118	152	156	170	183	184	195
7	29	31	40	66	97	102	117	118	170	184	195
22	29	31	66	102	109	117	118	156	170	183	195
29	31	40	66	97	102	116	117	118	170	184	195
29	85	102	117	118	152	156	161	170	183	184	195
29	31	40	66	97	102	109	117	118	170	184	195
8	29	31	40	66	97	102	117	118	170	184	195
21	22	29	31	41	102	117	118	156	170	183	195
22	29	30	31	102	117	118	156	157	170	183	195
22	29	30	39	40	102	117	118	156	170	183	195
7	22	29	102	117	118	152	156	170	183	184	195
7	22	29	102	116	117	118	144	156	170	183	195
29	85	102	112	116	117	118	156	170	183	184	195
7	21	22	29	31	102	117	118	156	170	183	195
22	29	36	102	109	116	117	118	156	170	183	195
22	29	67	102	109	117	118	152	156	170	183	195
22	29	102	109	117	118	152	156	170	183	184	195
22	29	30	102	116	117	118	119	156	170	183	195
22	29	30	102	107	116	117	118	156	170	183	195
22	29	30	31	40	102	117	118	156	170	183	195
2	29	40	46	85	89	97	102	118	170	184	195
21	28	29	31	40	41	89	97	118	170	174	195
31	40	85	89	97	107	118	170	176	183	184	195
31	41	89	96	97	102	107	118	152	170	195	196
21	29	31	40	89	97	102	116	117	118	170	195
17	31	36	40	41	89	97	102	107	118	170	195
12	31	36	40	41	89	97	102	107	118	170	195
