22	29	97	102	117	118	156	170	182	195
29	97	102	117	118	152	156	170	182	195
29	97	102	117	118	156	170	182	184	195
29	97	102	117	118	156	170	182	185	195
6	29	97	102	117	118	156	170	182	195
25	29	97	102	117	118	156	170	182	195
29	35	97	102	117	118	156	170	182	195
29	76	97	102	117	118	156	170	182	195
29	77	97	102	117	118	156	170	182	195
29	97	101	102	117	118	156	170	182	195
29	97	102	103	117	118	156	170	182	195
29	97	102	104	117	118	156	170	182	195
29	97	102	115	117	118	156	170	182	195
29	97	102	117	118	120	156	170	182	195
29	97	102	117	118	143	156	170	182	195
29	97	102	117	118	156	170	182	193	195
29	97	102	117	118	156	170	182	195	197
22	29	85	97	102	117	118	156	170	195
29	85	97	102	117	118	152	156	170	195
29	85	97	102	117	118	156	170	184	195
29	85	97	102	117	118	156	170	185	195
6	29	85	97	102	117	118	156	170	195
25	29	85	97	102	117	118	156	170	195
29	35	85	97	102	117	118	156	170	195
29	76	85	97	102	117	118	156	170	195
29	77	85	97	102	117	118	156	170	195
29	85	97	101	102	117	118	156	170	195
29	85	97	102	103	117	118	156	170	195
29	85	97	102	104	117	118	156	170	195
29	85	97	102	115	117	118	156	170	195
29	85	97	102	117	118	120	156	170	195
29	85	97	102	117	118	143	156	170	195
29	85	97	102	117	118	156	170	193	195
29	85	97	102	117	118	156	170	195	197
29	102	117	118	152	156	170	182	183	195
29	41	76	102	117	118	170	174	182	195
28	29	68	89	102	117	118	170	195	197
31	40	41	89	97	102	107	118	170	195
29	97	102	117	118	170	174	182	184	195
31	41	89	97	102	107	118	170	195	196
29	68	89	101	102	117	118	170	182	195
24	29	102	117	118	152	156	170	182	195
22	29	85	102	107	117	118	170	174	195
29	77	102	117	118	156	170	182	183	195
22	29	41	85	89	102	118	170	182	195
29	40	97	102	117	118	143	156	170	195
8	29	97	102	117	118	156	158	170	195
29	31	40	41	72	89	97	118	170	195
29	31	40	89	97	102	117	118	170	195
29	31	35	68	102	117	118	170	174	195
29	81	85	97	102	117	118	152	170	195
29	41	102	117	118	170	174	182	190	195
29	85	102	117	118	156	170	183	184	195
0	29	41	89	102	118	170	180	182	195
6	29	81	102	117	118	170	182	183	195
22	29	68	102	117	118	170	174	182	195
29	68	89	102	117	118	120	170	182	195
29	41	89	97	102	103	117	118	170	195
29	30	97	102	117	118	156	158	170	195
29	102	117	118	152	156	170	182	195	197
7	29	89	102	117	118	120	170	182	195
29	31	68	89	97	102	117	118	170	195
29	36	85	102	117	118	156	170	183	195
29	85	102	117	118	170	174	182	195	197
